GeneID	Control_1	Control_2	Erb1KO_1	Erb1KO_2
AGGF1	2580	2231	3343	2246
AGK	1757	1613	2155	1486
AGL	833	723	1170	686
AGMAT	656	638	743	503
AGMO	0	0	1	0
AGPAT1	3775	3459	3191	2090
AGPAT2	1826	1575	1177	1034
AGPAT3	6518	5648	6660	4432
AGPAT4	15	12	15	16
AGPAT5	2059	1689	2173	1880
AGPAT6	2846	2674	3133	2262
AGPAT9	205	162	334	259
AGPHD1	114	127	133	124
AGPS	8	6	7	3
AGR2	20646	18983	23083	16724
AGR3	5	1	4	4
AGRN	7440	6529	7952	4966
AGRP	0	0	0	0
AGSK1	0	0	0	0
AGT	0	0	0	0
AGTPBP1	1167	907	1401	953
AGTR1	18	18	21	9
AGTR2	0	0	0	0
AGTRAP	618	624	538	379
AGXT	0	0	0	1
AGXT2	0	0	0	0
AGXT2L1	0	2	1	3
AGXT2L2	1977	1942	1757	1301
AHCTF1	966	839	1358	868
AHCY	22414	20105	15026	11836
AHCYL1	8299	7516	9542	6395
AHCYL2	1836	1711	2147	1354
AHDC1	742	590	438	321
AHI1	863	673	1352	813
AHNAK	30447	25995	28844	13913
AHNAK2	625	515	533	230
AHR	1104	869	1459	1049
AHRR	80	94	67	49
AHSA1	6291	6129	6586	4765
AHSA2	818	768	952	497
AHSG	1	1	0	2
AHSP	0	0	0	0
AICDA	0	0	0	0
AIDA	240	226	353	266
AIF1	0	0	0	0
AIF1L	4007	3653	3607	2494
AIFM1	9399	9399	9618	5806
AIFM2	1614	1555	1883	1436
AIFM3	186	146	167	96
AIG1	1944	1784	2125	1612
AIM1	1728	1593	2353	1140
AIM1L	190	167	204	176
AIM2	0	3	1	2
AIMP1	3937	3669	4166	3151
AIMP2	4095	3603	3135	2655
AIP	4147	3864	2506	2057
AIPL1	0	0	0	0
AIRE	0	0	0	0
AJAP1	13	1	7	4
AK1	1558	1633	1307	896
AK2	4019	3940	4339	2968
AK3	4085	3587	5538	4123
AK4	4030	3677	4075	3024
AK5	1	0	1	0
AK7	52	40	34	26
AK8	59	71	47	32
AKAP1	9497	8313	8340	5333
AKAP10	1561	1374	1739	1113
AKAP11	2644	2242	3298	2225
AKAP12	34	26	51	32
AKAP13	2909	2275	2914	1814
AKAP14	0	1	0	0
AKAP17A	0	0	0	0
AKAP2	0	0	0	0
AKAP3	4	2	11	6
